GEMINI,95,$1.92 B,$739.00 M,$3.11 B,1.20
ATLAS,82,$2.04 B,$812.00 M,$2.83 B,1.18
QUASAR,85,$1.85 B,$615.00 M,$2.83 B,1.32
BART,97,$1.97 B,$883.00 M,$2.72 B,1.24
VENUS,84,$1.75 B,$718.00 M,$2.58 B,1.31
LYNX,79,$1.63 B,$750.00 M,$2.55 B,1.18
MARS,87,$1.74 B,$794.00 M,$2.54 B,1.34
DRACO,76,$1.49 B,$477.00 M,$2.54 B,1.26
TITAN,93,$1.58 B,$567.00 M,$2.53 B,1.19
SATURN,80,$1.72 B,$632.00 M,$2.53 B,1.19
PLUTO,89,$1.66 B,$564.00 M,$2.50 B,1.24
URSA,76,$1.99 B,$957.00 M,$2.49 B,1.28
HYDRA,80,$1.44 B,$433.00 M,$2.40 B,1.32
SNOOPY,84,$1.94 B,$685.00 M,$2.35 B,1.28
ORION,74,$1.82 B,$745.00 M,$2.34 B,1.32
JUPITER,79,$1.68 B,$537.00 M,$2.20 B,1.18
NEPTUNE,79,$1.32 B,$373.00 M,$2.08 B,1.32
