GEMINI,78,$1.54 B,$441.00 M,$1.59 B,1.61
QUASAR,73,$1.51 B,$442.00 M,$1.58 B,1.74
SATURN,69,$1.40 B,$380.00 M,$1.49 B,1.78
HYDRA,64,$1.26 B,$381.00 M,$1.45 B,1.71
DRACO,77,$1.35 B,$384.00 M,$1.45 B,1.61
VENUS,62,$1.29 B,$323.00 M,$1.36 B,1.82
BART,73,$1.28 B,$363.00 M,$1.35 B,1.74
PLUTO,65,$1.22 B,$355.00 M,$1.33 B,1.71
ATLAS,74,$1.48 B,$347.00 M,$1.31 B,1.73
LYNX,64,$1.39 B,$322.00 M,$1.30 B,1.71
ORION,61,$1.25 B,$301.00 M,$1.29 B,1.84
TITAN,82,$1.36 B,$373.00 M,$1.28 B,1.61
URSA,57,$1.22 B,$293.00 M,$1.24 B,1.84
MARS,67,$1.26 B,$264.00 M,$1.22 B,1.76
NEPTUNE,65,$1.24 B,$271.00 M,$1.22 B,1.71
SNOOPY,64,$1.12 B,$214.00 M,$1.16 B,1.78
JUPITER,60,$1.12 B,$267.00 M,$1.13 B,1.82
