QUASAR,72,$12.10 B,$2.61 B,$12.00 B,14.80
GEMINI,67,$12.30 B,$1.86 B,$11.30 B,14.50
DRACO,64,$10.80 B,$2.95 B,$10.70 B,14.50
ATLAS,71,$11.80 B,$2.54 B,$10.50 B,14.80
HYDRA,62,$10.10 B,$1.27 B,$10.30 B,14.50
ORION,66,$9.97 B,$1.91 B,$10.20 B,15.10
SATURN,73,$11.20 B,$916.00 M,$10.10 B,13.40
VENUS,64,$10.40 B,$1.32 B,$9.90 B,14.50
MARS,65,$10.10 B,$1.95 B,$9.80 B,15.10
TITAN,68,$10.90 B,$2.14 B,$9.71 B,15.10
BART,68,$10.30 B,$2.45 B,$9.53 B,14.20
PLUTO,65,$9.74 B,$1.15 B,$9.20 B,14.50
LYNX,71,$11.20 B,$889.00 M,$8.96 B,13.40
URSA,71,$9.74 B,$1.14 B,$8.84 B,14.00
SNOOPY,61,$8.99 B,$949.00 M,$8.66 B,14.50
NEPTUNE,71,$9.89 B,$471.00 M,$8.20 B,13.40
JUPITER,62,$8.99 B,$954.00 M,$7.87 B,14.50
