DRACO,62,$12.10 B,$3.54 B,$9.43 B,14.10
ORION,63,$12.10 B,$3.53 B,$9.42 B,14.10
PEGASUS,61,$11.30 B,$3.32 B,$9.22 B,14.10
GEMINI,60,$10.80 B,$3.18 B,$9.07 B,14.10
TITAN,60,$10.80 B,$3.17 B,$8.58 B,14.10
MERCURY,60,$9.87 B,$2.89 B,$8.28 B,14.10
JUPITER,57,$9.54 B,$2.66 B,$8.07 B,14.40
NEPTUNE,55,$9.30 B,$2.60 B,$8.04 B,14.40
ATLAS,57,$9.71 B,$2.71 B,$7.93 B,14.40
LIBRA,57,$9.71 B,$2.71 B,$7.86 B,14.40
MARS,54,$8.35 B,$2.32 B,$7.73 B,14.40
DORADO,63,$12.10 B,$2.56 B,$7.71 B,13.30
URSA,54,$8.28 B,$2.30 B,$7.71 B,14.40
SATURN,54,$8.28 B,$2.31 B,$7.70 B,14.40
PLUTO,57,$9.87 B,$2.75 B,$7.57 B,14.40
VENUS,60,$10.20 B,$1.93 B,$7.08 B,13.30
HYDRA,53,$7.75 B,$2.15 B,$6.92 B,14.40
