GEMINI,68,$6.16 B,$1.81 B,$6.49 B,6.98
QUASAR,69,$6.03 B,$1.78 B,$6.46 B,6.98
SATURN,61,$5.62 B,$1.31 B,$5.93 B,7.57
HYDRA,64,$5.06 B,$1.42 B,$5.89 B,7.19
DRACO,64,$5.41 B,$1.22 B,$5.52 B,7.19
VENUS,67,$5.18 B,$1.22 B,$5.47 B,7.05
ATLAS,72,$5.91 B,$1.43 B,$5.34 B,7.05
LYNX,67,$5.58 B,$1.35 B,$5.34 B,6.98
ORION,67,$4.98 B,$1.16 B,$5.20 B,7.05
BART,56,$5.14 B,$1.16 B,$5.15 B,7.65
PLUTO,59,$4.87 B,$1.09 B,$5.10 B,7.65
MARS,61,$5.06 B,$1.18 B,$5.06 B,7.57
TITAN,63,$5.45 B,$1.22 B,$4.96 B,7.19
NEPTUNE,59,$4.94 B,$1.11 B,$4.96 B,7.65
URSA,60,$4.87 B,$1.09 B,$4.93 B,7.65
SNOOPY,54,$4.49 B,$1.01 B,$4.85 B,7.65
JUPITER,59,$4.49 B,$975.00 M,$4.42 B,7.57
