GEMINI,74,$7.97 B,$2.78 B,$9.27 B,6.48
QUASAR,75,$7.39 B,$2.59 B,$9.04 B,6.48
ATLAS,82,$7.72 B,$2.60 B,$7.95 B,5.84
HYDRA,68,$5.86 B,$1.94 B,$7.82 B,6.61
SATURN,66,$6.42 B,$1.88 B,$7.80 B,6.61
LYNX,73,$7.01 B,$2.45 B,$7.79 B,6.48
DRACO,66,$6.42 B,$2.13 B,$7.66 B,6.61
VENUS,70,$6.60 B,$2.17 B,$7.64 B,6.68
BART,67,$7.20 B,$2.06 B,$7.20 B,7.03
TITAN,64,$6.55 B,$2.18 B,$7.14 B,6.68
ORION,68,$5.77 B,$1.90 B,$7.10 B,6.68
MARS,66,$6.33 B,$1.85 B,$6.91 B,7.03
PLUTO,68,$6.60 B,$1.81 B,$6.91 B,6.34
URSA,60,$6.07 B,$1.76 B,$6.69 B,7.10
NEPTUNE,62,$5.69 B,$1.63 B,$6.59 B,7.10
JUPITER,73,$6.96 B,$2.14 B,$6.56 B,6.48
SNOOPY,62,$5.90 B,$1.69 B,$6.54 B,7.10
