QUASAR,71,$1.51 B,$520.00 M,$1.30 B,1.62
TITAN,58,$1.36 B,$310.00 M,$1.25 B,1.91
DRACO,65,$1.35 B,$381.00 M,$1.22 B,1.78
SATURN,72,$1.40 B,$464.00 M,$1.22 B,1.64
ORION,65,$1.25 B,$339.00 M,$1.16 B,1.78
ATLAS,65,$1.48 B,$406.00 M,$1.14 B,1.78
NEPTUNE,63,$1.24 B,$347.00 M,$1.11 B,1.78
BART,66,$1.28 B,$351.00 M,$1.09 B,1.78
VENUS,71,$1.29 B,$435.00 M,$1.09 B,1.62
GEMINI,75,$1.54 B,$302.00 M,$1.09 B,1.51
HYDRA,71,$1.26 B,$145.00 M,$1.08 B,1.62
LYNX,72,$1.39 B,$190.00 M,$1.00 B,1.60
PLUTO,67,$1.22 B,$110.00 M,$927.00 M,1.64
JUPITER,65,$1.12 B,$22.80 M,$867.00 M,1.76
URSA,68,$1.22 B,$110.00 M,$862.00 M,1.64
MARS,68,$1.26 B,$119.00 M,$840.00 M,1.65
SNOOPY,67,$1.12 B,$75.70 M,$836.00 M,1.65
