PEGASUS,58,$6.04 B,$1.66 B,$2.91 B,7.13
ORION,58,$6.04 B,$1.66 B,$2.91 B,7.13
GEMINI,58,$6.04 B,$1.66 B,$2.91 B,7.13
DRACO,58,$6.04 B,$1.66 B,$2.91 B,7.13
NEPTUNE,52,$5.23 B,$1.47 B,$2.72 B,7.20
URSA,52,$5.19 B,$1.45 B,$2.70 B,7.20
TITAN,52,$5.19 B,$1.45 B,$2.70 B,7.20
MARS,52,$5.19 B,$1.45 B,$2.70 B,7.20
JUPITER,52,$5.19 B,$1.45 B,$2.70 B,7.20
SATURN,52,$5.14 B,$1.44 B,$2.69 B,7.20
MERCURY,52,$5.14 B,$1.44 B,$2.69 B,7.20
ATLAS,51,$4.85 B,$1.35 B,$2.60 B,7.20
VENUS,51,$4.85 B,$1.35 B,$2.57 B,7.20
DORADO,51,$4.85 B,$1.35 B,$2.57 B,7.20
LIBRA,51,$4.85 B,$1.35 B,$2.57 B,7.20
PLUTO,50,$4.76 B,$1.19 B,$2.40 B,7.50
HYDRA,50,$4.67 B,$1.16 B,$2.38 B,7.50
