ATLAS,53,$1.21 B,$330.00 M,$635.00 M,1.80
VENUS,52,$1.21 B,$330.00 M,$631.00 M,1.80
DORADO,52,$1.21 B,$330.00 M,$631.00 M,1.80
LIBRA,53,$1.21 B,$330.00 M,$626.00 M,1.80
HYDRA,50,$1.17 B,$292.00 M,$593.00 M,1.88
PLUTO,52,$1.19 B,$296.00 M,$592.00 M,1.86
PEGASUS,59,$1.51 B,$199.00 M,$504.00 M,1.67
ORION,59,$1.51 B,$199.00 M,$504.00 M,1.67
GEMINI,59,$1.51 B,$199.00 M,$504.00 M,1.67
DRACO,59,$1.51 B,$199.00 M,$504.00 M,1.67
NEPTUNE,57,$1.31 B,$132.00 M,$438.00 M,1.67
URSA,57,$1.30 B,$128.00 M,$434.00 M,1.67
TITAN,57,$1.30 B,$128.00 M,$434.00 M,1.67
MARS,57,$1.30 B,$128.00 M,$434.00 M,1.67
JUPITER,57,$1.30 B,$128.00 M,$434.00 M,1.67
SATURN,57,$1.28 B,$124.00 M,$430.00 M,1.67
MERCURY,57,$1.28 B,$124.00 M,$430.00 M,1.67
