URSA,52,$1.26 B,$305.00 M,$305.00 M,1.88
TITAN,52,$1.26 B,$305.00 M,$305.00 M,1.88
SATURN,52,$1.26 B,$305.00 M,$305.00 M,1.88
PEGASUS,52,$1.26 B,$305.00 M,$305.00 M,1.88
ORION,52,$1.26 B,$305.00 M,$305.00 M,1.88
NEPTUNE,52,$1.26 B,$305.00 M,$305.00 M,1.88
MERCURY,52,$1.26 B,$305.00 M,$305.00 M,1.88
MARS,52,$1.26 B,$305.00 M,$305.00 M,1.88
JUPITER,52,$1.26 B,$305.00 M,$305.00 M,1.88
GEMINI,52,$1.26 B,$305.00 M,$305.00 M,1.88
DRACO,52,$1.26 B,$305.00 M,$305.00 M,1.88
ATLAS,52,$1.26 B,$305.00 M,$305.00 M,1.88
VENUS,50,$1.22 B,$301.00 M,$301.00 M,1.88
HYDRA,50,$1.22 B,$301.00 M,$301.00 M,1.88
DORADO,50,$1.22 B,$301.00 M,$301.00 M,1.88
PLUTO,51,$1.22 B,$296.00 M,$296.00 M,1.88
LIBRA,51,$1.22 B,$296.00 M,$296.00 M,1.88
