PEGASUS,56,$12.10 B,$3.38 B,$5.89 B,14.40
ORION,56,$12.10 B,$3.38 B,$5.89 B,14.40
GEMINI,56,$12.10 B,$3.38 B,$5.89 B,14.40
DRACO,56,$12.10 B,$3.38 B,$5.89 B,14.40
NEPTUNE,52,$10.50 B,$2.93 B,$5.45 B,14.40
URSA,53,$10.40 B,$2.89 B,$5.41 B,14.40
TITAN,53,$10.40 B,$2.89 B,$5.41 B,14.40
MARS,53,$10.40 B,$2.89 B,$5.41 B,14.40
JUPITER,53,$10.40 B,$2.89 B,$5.41 B,14.40
SATURN,52,$10.30 B,$2.88 B,$5.39 B,14.40
MERCURY,52,$10.30 B,$2.88 B,$5.39 B,14.40
ATLAS,52,$9.70 B,$2.71 B,$5.22 B,14.40
VENUS,51,$9.70 B,$2.71 B,$5.15 B,14.40
DORADO,51,$9.70 B,$2.71 B,$5.15 B,14.40
LIBRA,52,$9.70 B,$2.71 B,$5.15 B,14.40
PLUTO,51,$9.52 B,$2.38 B,$4.82 B,15.00
HYDRA,51,$9.33 B,$2.32 B,$4.77 B,15.00
